07:44:22  [main] 	Initializing Control Panel
07:44:22  [main] 	Windows Version:  Home  64-bit
07:44:22  [main] 	XAMPP Version: 8.2.4
07:44:22  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
07:44:22  [main] 	You are not running with administrator rights! This will work for
07:44:22  [main] 	most application stuff but whenever you do something with services
07:44:22  [main] 	there will be a security dialogue or things will break! So think 
07:44:22  [main] 	about running this application with administrator rights!
07:44:22  [main] 	XAMPP Installation Directory: "c:\xampp\"
07:44:22  [main] 	Checking for prerequisites
07:44:23  [main] 	All prerequisites found
07:44:23  [main] 	Initializing Modules
07:44:23  [main] 	Starting Check-Timer
07:44:23  [main] 	Control Panel Ready
07:44:25  [Apache] 	Attempting to start Apache app...
07:44:26  [Apache] 	Status change detected: running
07:44:26  [mysql] 	Attempting to start MySQL app...
07:44:27  [mysql] 	Status change detected: running
07:49:50  [mysql] 	Attempting to stop MySQL app...
07:49:50  [mysql] 	Status change detected: stopped
07:49:51  [Apache] 	Attempting to stop Apache (PID: 8240)
07:49:51  [Apache] 	Attempting to stop Apache (PID: 18740)
07:49:51  [Apache] 	Status change detected: stopped
07:55:48  [Apache] 	Attempting to start Apache app...
07:55:48  [Apache] 	Status change detected: running
07:55:49  [mysql] 	Attempting to start MySQL app...
07:55:49  [mysql] 	Status change detected: running
08:11:52  [Apache] 	Attempting to stop Apache (PID: 15160)
08:11:52  [Apache] 	Attempting to stop Apache (PID: 2904)
08:11:52  [Apache] 	Status change detected: stopped
08:11:53  [mysql] 	Attempting to stop MySQL app...
08:11:53  [mysql] 	Status change detected: stopped
08:11:54  [Apache] 	Attempting to start Apache app...
08:11:55  [Apache] 	Status change detected: running
08:11:55  [mysql] 	Attempting to start MySQL app...
08:11:55  [mysql] 	Status change detected: running
08:11:57  [mysql] 	Status change detected: stopped
08:11:57  [mysql] 	Error: MySQL shutdown unexpectedly.
08:11:57  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:11:57  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:11:57  [mysql] 	Press the Logs button to view error logs and check
08:11:57  [mysql] 	the Windows Event Viewer for more clues
08:11:57  [mysql] 	If you need more help, copy and post this
08:11:57  [mysql] 	entire log window on the forums
08:12:13  [mysql] 	Attempting to start MySQL app...
08:12:13  [mysql] 	Status change detected: running
08:12:15  [mysql] 	Status change detected: stopped
08:12:15  [mysql] 	Error: MySQL shutdown unexpectedly.
08:12:15  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:12:15  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:12:15  [mysql] 	Press the Logs button to view error logs and check
08:12:15  [mysql] 	the Windows Event Viewer for more clues
08:12:15  [mysql] 	If you need more help, copy and post this
08:12:15  [mysql] 	entire log window on the forums
08:12:53  [mysql] 	Attempting to start MySQL app...
08:12:54  [mysql] 	Status change detected: running
08:12:55  [mysql] 	Status change detected: stopped
08:12:55  [mysql] 	Error: MySQL shutdown unexpectedly.
08:12:55  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:12:55  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:12:55  [mysql] 	Press the Logs button to view error logs and check
08:12:55  [mysql] 	the Windows Event Viewer for more clues
08:12:55  [mysql] 	If you need more help, copy and post this
08:12:55  [mysql] 	entire log window on the forums
08:13:12  [Apache] 	Attempting to stop Apache (PID: 10856)
08:13:13  [Apache] 	Attempting to stop Apache (PID: 9424)
08:13:13  [Apache] 	Status change detected: stopped
08:13:48  [Apache] 	Status change detected: running
08:13:50  [mysql] 	Status change detected: running
08:13:52  [mysql] 	Status change detected: stopped
08:13:52  [mysql] 	Error: MySQL shutdown unexpectedly.
08:13:52  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:13:52  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:13:52  [mysql] 	Press the Logs button to view error logs and check
08:13:52  [mysql] 	the Windows Event Viewer for more clues
08:13:52  [mysql] 	If you need more help, copy and post this
08:13:52  [mysql] 	entire log window on the forums
